date,customer_id,product_id,product_name,category,region,channel,units_sold,unit_price,discount,cost,customer_age,customer_tenure_months,num_complaints,last_purchase_days_ago,churned,stock_on_hand,reorder_point,sales_amount,profit
2021-01-01,1103,2003,Laptop,Sports,South,Wholesale,36,236.54,0.26,225.69,47,61,4,261,0,186,27,6301.43,-1823.41
2021-01-02,1436,2037,Shoe,Sports,South,Online,27,359.9,0.15,70.39,68,55,0,298,0,294,82,8259.7,6359.17
2021-01-03,1349,2043,Shirt,Furniture,East,Wholesale,20,370.61,0.17,69.88,42,71,4,17,1,66,26,6152.13,4754.53
2021-01-04,1271,2040,Shoe,Electronics,West,Retail,47,77.76,0.17,284.43,63,50,0,111,1,72,21,3033.42,-10334.79
2021-01-05,1107,2090,Shoe,Furniture,South,Online,15,483.43,0.12,286.48,60,12,0,328,0,231,36,6381.28,2084.08
2021-01-06,1072,2055,Chair,Clothing,North,Wholesale,27,412.31,0.06,297.19,58,15,2,360,0,188,23,10464.43,2440.3
2021-01-07,1189,2087,Laptop,Sports,East,Wholesale,45,110.2,0.22,243.26,24,17,0,94,1,49,45,3868.02,-7078.68
2021-01-08,1021,2039,Desk,Electronics,South,Online,41,101.22,0.04,60.51,64,34,4,10,0,308,97,3984.02,1503.11
2021-01-09,1103,2015,TV,Clothing,West,Online,28,71.57,0.03,67.53,37,35,3,212,0,301,91,1943.84,53.0
2021-01-10,1122,2004,Desk,Clothing,South,Retail,25,77.81,0.21,105.37,34,39,2,237,0,307,88,1536.75,-1097.5
2021-01-11,1467,2093,Chair,Electronics,Central,Wholesale,42,376.6,0.06,98.85,20,55,4,254,0,123,24,14868.17,10716.47
2021-01-12,1215,2086,Shoe,Clothing,North,Retail,44,240.13,0.09,287.18,64,59,4,16,0,156,24,9614.81,-3021.11
2021-01-13,1331,2025,Rice,Electronics,East,Retail,46,393.64,0.14,237.78,63,5,2,144,1,260,88,15572.4,4634.52
2021-01-14,1459,2013,TV,Electronics,Central,Retail,33,375.66,0.13,218.58,57,30,2,42,0,194,22,10785.2,3572.06
2021-01-15,1088,2082,TV,Food,West,Online,46,306.26,0.21,59.86,53,4,4,3,0,329,57,11129.49,8375.93
2021-01-16,1373,2033,Laptop,Furniture,Central,Retail,14,346.32,0.19,273.31,43,15,3,156,0,350,20,3927.27,100.93
2021-01-17,1100,2016,Bread,Clothing,Central,Online,8,18.99,0.19,249.22,27,35,1,173,0,330,27,123.06,-1870.7
2021-01-18,1360,2042,Phone,Clothing,West,Online,48,162.77,0.21,53.27,51,55,4,24,0,255,32,6172.24,3615.28
2021-01-19,1152,2066,Phone,Food,Central,Retail,14,322.53,0.09,262.0,31,66,2,275,0,464,89,4109.03,441.03
2021-01-20,1131,2055,Phone,Food,East,Retail,1,14.58,0.1,85.31,25,60,0,75,0,423,69,13.12,-72.19
2021-01-21,1150,2099,Bread,Food,South,Wholesale,16,26.16,0.13,28.86,44,24,0,40,0,488,27,364.15,-97.61
2021-01-22,1309,2042,Laptop,Sports,Central,Retail,18,427.43,0.09,198.76,27,22,2,302,0,199,49,7001.3,3423.62
